trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,0,-164.4481358014428,"{0: 20, 1: 0, 2: 14, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-141.92267493735875,"{0: 13, 1: 0, 2: 11, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-251.3157461310166,"{0: 11, 1: 0, 2: 10, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-148.80483046085246,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-173.1307436937232,"{0: 8, 1: 0, 2: 10, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-189.78780822345237,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-267.7341290479441,"{0: 9, 1: 0, 2: 12, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-165.91037523492713,"{0: 19, 1: 0, 2: 15, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-166.35547000872592,"{0: 18, 1: 0, 2: 10, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-332.2083431888678,"{0: 13, 1: 0, 2: 11, 3: 0, 4: 6}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-69.03308164677856,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-212.8793436125831,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-220.47211866141578,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-109.70571384118658,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-194.7629451936089,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,9,-107.7578708208809,"{0: 7, 1: 0, 2: 8, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-241.35460363042583,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 5}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-258.7030456986934,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 6}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,10,-116.05841885883623,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,3,-92.49976161411907,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",25,0,-83.82798016420789,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,0,-103.29875718537656,"{0: 21, 1: 0, 2: 8, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-129.29968684001423,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,0,-217.1380072866009,"{0: 18, 1: 0, 2: 8, 3: 0, 4: 4}",0
5,True,"{'a': 0, 'e': 0}",20,0,-130.3107616752556,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-218.69100049448505,"{0: 12, 1: 0, 2: 9, 3: 1, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,0,-103.82091478664046,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-147.38429313684412,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-162.7039775190171,"{0: 13, 1: 0, 2: 10, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,8,-55.07651873650659,"{0: 6, 1: 0, 2: 6, 3: 0, 4: 0}",1
