trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.4972452099726,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.5358867312681466}",20,0,-122.10208345768469,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.3720410580113015}",20,15,5.808425008734355,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.2871745887492588}",20,0,-76.97662188064605,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.23492378861760377}",25,3,-74.4792256791719,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.19937186647521926}",20,0,-17.89754888998083,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.1735448634341524}",20,10,8.973241508022747,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.1538930516681145}",35,0,-32.86475769248898,"{0: 30, 1: 2, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.1384145488461686}",30,0,13.471118214082983,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.1258925411794167}",25,0,-72.9802673756136,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.11554378320092186}",20,0,-9.564010528524413,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.1068407378322346}",25,0,-19.969744544351126,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.09941478621391013}",30,0,-30.92251402299473,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.09300038959410482}",20,0,-41.85787293730589,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.08740129486931665}",25,15,14.171524757289605,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.08246924442330589}",20,3,-17.10014296250376,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.07809009852285406}",20,0,-10.218166137869728,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.07417452014112849}",30,13,25.665776831239175,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.07065156057695288}",25,9,15.907028239916004,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.06746414238367816}",20,0,13.6321302906608,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.06456581460446889}",30,1,36.48670111891509,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.0619183802978974}",20,0,-72.22463693375269,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.05949013405765882}",20,8,24.014492717756973,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.05725453376319321}",25,0,-15.78580868571625,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.05518918645844859}",25,15,12.781959034496976,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.05327506482389391}",20,0,19.227235054982696,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.05149589519688553}",25,0,-21.121239313382105,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.049837674786248995}",25,0,-40.00540689835191,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.048288287285910204}",20,0,-23.739970955194636,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.046837194216121536}",30,0,-0.9347694791900869,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.04547518510824324}",20,0,19.559147790792156,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.044194173824159216}",25,17,15.387166871835705,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.04298703134869941}",25,0,36.23037565775033,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.04184744764181979}",25,0,34.8429780376235,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.04076981681307574}",25,0,6.89425483688501,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.039749141141812654}",25,3,35.585539393194715,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.03878095042365836}",20,0,21.78518791005636,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.03786123385657673}",25,13,22.63811983874414,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.03698638224499047}",25,13,22.039145854676786,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
