trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.1}",20,0,-32.798442996671504,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.2000000000000002}",25,0,-142.9017373630671,"{0: 13, 1: 4, 2: 4, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.3000000000000003}",20,0,-52.04298184054027,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.4000000000000004}",25,0,-72.25753349851733,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.5000000000000004}",20,0,-60.73200435946267,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.6000000000000005}",20,0,-113.12224108418707,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.7000000000000006}",25,0,-56.77714025283185,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.8000000000000007}",25,0,-214.29677108487806,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.9000000000000008}",20,0,-98.71554939518902,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 2.000000000000001}",30,0,-230.73542352918852,"{0: 14, 1: 3, 2: 9, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 2.100000000000001}",30,0,-230.0641877204815,"{0: 18, 1: 1, 2: 5, 3: 2, 4: 4}",0
12,False,"{'a': 0.5, 'e': 2.200000000000001}",25,0,-115.75944413276983,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 2.300000000000001}",25,0,-162.41782744751373,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 2.4000000000000012}",20,0,-68.89712690657525,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 2.5000000000000013}",20,0,-133.17515552929896,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 2.6000000000000014}",20,7,-79.89433180684415,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 2.7000000000000015}",25,0,-146.09807021849093,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 2.8000000000000016}",25,0,-178.13271256101044,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 2.9000000000000017}",25,0,-206.48723651998165,"{0: 8, 1: 1, 2: 12, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 3.0000000000000018}",25,0,-148.5113796997433,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",25,0,-108.56873683826552,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-219.55942542742315,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
3,True,"{'a': 0, 'e': 0}",30,0,-165.88621168176007,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",25,0,-112.37333545442073,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-71.03736163030376,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",35,0,-145.83263653337036,"{0: 21, 1: 2, 2: 10, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,0,-182.57284033015992,"{0: 14, 1: 6, 2: 7, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-112.82524759515408,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-179.08343209016914,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",25,0,-89.971119701973,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
